id,time,SSRT,SSRT1,SSRT2,SSRT3,SSRT4,rt_nth,MSSD,NTrial,NResp,NInclude,MRT_Go,MRT_Stop,PE_Go,PE_Stop,SSSD,MSSD1,MSSD2,MSSD3,MSSD4,SSSD1,SSSD2,SSSD3,SSSD4
46,2014/5/18 9:20,173.2772883,136.6887873,195.7522744,199.5459302,164.6675841,391.6552645,218.3779762,256,255,250,410.0879808,127.1866095,0.005376344,0.484375,31.61079983,247.1428571,198.75,184.2857143,243.3333333,1,1,1,1
47,2014/7/24 8:55,226.1246361,238.9473146,224.2719899,207.7568384,233.5020076,387.9482291,161.8235931,256,256,242,384.5995714,185.1645039,0.011235955,0.515625,12.79871155,147.1428571,161.8181818,178.3333333,160,1,1,1,1
48,2014/5/18 9:15,166.1544987,103.7889332,215.6495136,161.8995136,179.3995136,547.7169987,381.5625,256,255,253,599.466638,97.27664691,0,0.359375,37.93326102,427.5,336.25,390,372.5,1,1,1,1
49,2014/5/18 8:58,279.1194646125001,NA,319.7906996,189.2097696,406.0059268,493.5406996,198.4722222,256,253,249,501.4617371,229.7277174,0.010810811,0.5625,62.92126547,120,173.75,270,151.6666667,0,1,1,1
50,2007/1/1 1:16,220.6223847,246.6398317,248.3199307,219.8206392,183.5517931,422.9289323,202.3065476,256,255,247,427.9706646,149.8199959,0.038251366,0.53125,46.69058584,158.75,187.1428571,195,268.3333333,1,1,1,1
51,2014/5/24 9:28,217.9503272,238.9642313,NA,213.130898,204.0188495,409.3392161,191.3888889,256,256,253,414.00996,124.7547891,0.052910053,0.515625,26.67100659,165,80,190.8333333,218.3333333,1,0,1,1
52,2014/5/25 9:05,246.8579934,NA,NA,NA,237.4929764,376.8579934,130,256,256,248,358.1686425,196.3683336,0.032608696,0.625,0,-10,148.75,57.5,130,0,0,0,1
54,2014/5/24 9:19,237.6045194,NA,213.791021,NA,259.7768874,380.9811428,143.3766234,256,256,250,377.7384425,188.9766358,0,0.5625,21.48869958,115,158.5714286,40,128.1818182,0,1,0,1
55,2014/5/24 9:14,228.0829962,214.0384825,246.3599111,236.4570236,222.8839334,439.9133533,211.8303571,256,256,243,439.7507055,163.395645,0.027932961,0.484375,20.4563035,218.5714286,186.25,207.5,235,1,1,1,1
56,2014/5/18 9:16,134.19110771249993,74.94671407,119.4705236,107.9448104,155.4448104,359.9594764,246.577381,256,256,254,408.6682037,86.22129251,0.015789474,0.40625,30.42738139,281.6666667,237.1428571,257.5,210,1,1,1,1
57,2014/5/18 9:03,167.5280914,121.8365203,142.8852343,136.2185676,270.4114469,506.2185676,338.6904762,256,253,252,550.3389963,118.1825616,0.005319149,0.4375,52.58887305,361.4285714,363.3333333,370,260,1,1,1,1
58,2014/5/24 9:53,248.4897241,232.4480574,200.7778579,259.3925018,300.8159711,534.9480574,286.4583333,256,253,253,584.394066,190.3905919,0.005291005,0.4375,26.60426244,302.5,313.3333333,275.5555556,254.4444444,1,1,1,1
59,2014/5/24 9:42,210.9777031,210.7677357,221.474264,187.0177357,223.6964863,406.3596475,195.3819444,256,256,234,413.896092,144.2807586,0.011764706,0.53125,12.2900972,190,190,213.75,187.7777778,1,1,1,1
61,2014/5/10 9:05,199.3589401,197.3388042,169.2435661,170.9102328,231.8109508,586.5613211,387.202381,256,244,244,644.7523446,92.11580426,0,0.34375,12.90170848,368.5714286,396.6666667,395,388.5714286,1,1,1,1
62,2014/5/10 8:42,175.6224184,174.0474516,125.1090596,211.7182729,196.7182729,398.8367041,223.2142857,256,256,249,409.6972853,151.5212092,0.010810811,0.515625,34.16894799,215,272.8571429,195,210,1,1,1,1
63,41845.36944,204.6386991,206.551053,223.0727456,173.2242607,213.7798163,432.7321334,228.0934343,256,256,245,441.4405321,159.5142993,0.016574586,0.484375,22.70984648,217.7777778,211.8181818,261.6666667,221.1111111,1,1,1,1
64,41784.37292,191.8825568,152.6883153,230.95694,215.2102211,172.3855114,378.3760633,186.4935065,256,256,251,381.9795641,132.2522295,0.016042781,0.484375,28.73682939,210,151.4285714,174.5454545,210,1,1,1,1
65,41784.38542,210.0016191,203.7069762,212.9133254,218.1514207,205.234754,521.484754,311.4831349,256,253,245,553.7482629,182.8863527,0,0.4375,6.763697982,317.7777778,308.5714286,303.3333333,316.25,1,1,1,1
66,2014/5/24 9:13,229.8937971,226.2652567,222.6938282,270.277296,196.9439626,386.6199876,156.7261905,256,256,256,395.0222436,171.2948596,0.026041667,0.53125,29.97376971,155,158.5714286,120,193.3333333,1,1,1,1
67,2014/5/24 9:25,244.0725142,236.7984708,267.6141808,225.9475142,247.7541451,455.9475142,211.875,256,256,256,495.1189517,142.8304515,0.020833333,0.5,19.91155211,202.5,188.3333333,230,226.6666667,1,1,1,1
68,2014/5/24 9:21,227.4749407,249.8966414,NA,190.531562,NA,340.0146233,112.5396825,256,256,248,327.9603549,150.3487657,0.027173913,0.5625,41.97745018,82.85714286,65.71428571,142.2222222,70,1,0,1,0
69,2014/5/24 9:16,184.0643029,163.2286728,205.9440039,179.3916838,196.3361283,493.8361283,309.7718254,256,249,245,513.5451839,116.5976211,0.005524862,0.4375,9.152504865,318.5714286,308.5714286,314.4444444,297.5,1,1,1,1
